country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Costa Rica,2010,79.56,32.0,,23.06,,94.88,13.0
Costa Rica,2000,78.0,40.0,,13.13,28.900000000000002,87.02,14.2
Côte d’Ivoire,2019,62.92,,,,,,
Côte d’Ivoire,2015,60.2,658.0,46.0,,,57.58,29.3
Côte d’Ivoire,2010,56.62,701.0,,,,56.92,28.6
Côte d’Ivoire,2000,50.33,704.0,,,,55.55,26.2
Croatia,2019,78.64,,,,,,
Croatia,2015,77.58,8.0,60.0,31.73,71.9,99.57,17.2
Croatia,2010,76.72,9.0,,28.43,65.9,98.69,18.8
Croatia,2000,74.36,11.0,,23.57,48.4,100.0,22.9
Cuba,2019,77.76,,,,,,
Cuba,2015,77.91,38.0,81.0,77.69,,89.67,16.6
Cuba,2010,77.65,41.0,,68.15,,86.46,17.6
Cuba,2000,76.76,46.0,,59.32,,80.2,18.1
Cyprus,2019,83.14,,,,,,
Cyprus,2015,82.01,7.0,75.0,26.24,64.6,99.55,11.5
Cyprus,2010,81.02,8.0,,21.56,16.299999999999997,99.72,11.8
Cyprus,2000,78.75,14.0,,19.08,12.7,100.0,14.1
Czechia,2019,79.13,,,,,,
Czechia,2015,78.46,4.0,74.0,39.52,65.7,99.82,15.5
Czechia,2010,77.56,4.0,,35.17,57.5,99.75,17.7
Czechia,2000,74.95,7.0,,33.63,49.2,99.61,22.6
Democratic People's Republic of Korea,2019,72.63,,,,,,
Democratic People's Republic of Korea,2015,71.76,91.0,70.0,,,91.62,25.8
Democratic People's Republic of Korea,2010,70.18,106.0,,,,95.2,27.3
Democratic People's Republic of Korea,2000,63.95,139.0,,,,99.1,23.6
Democratic Republic of the Congo,2019,62.35,,,,,,
Democratic Republic of the Congo,2015,60.44,490.0,39.0,,,22.34,19.4
Democratic Republic of the Congo,2010,57.51,542.0,,,,19.95,20.1
Democratic Republic of the Congo,2000,52.44,760.0,,,,15.52,22.7
Denmark,2019,81.32,,,,,,
Denmark,2015,80.59,4.0,82.0,39.26,51.5,100.0,11.7
Denmark,2010,79.17,5.0,,37.21,47.300000000000004,100.0,13.4
Denmark,2000,76.93,8.0,,29.12,40.8,100.0,18.3
Djibouti,2019,65.81,,,,,,
Djibouti,2015,64.64,247.0,44.0,,,47.96,19.5
Djibouti,2010,61.87,283.0,,,,50.21,19.1
Djibouti,2000,59.84,507.0,,,,54.72,21.6
Dominican Republic,2019,72.84,,,,,,
Dominican Republic,2015,71.75,94.0,74.0,,,89.36,19.1
Dominican Republic,2010,73.17,96.0,,,,85.99,19.6
Dominican Republic,2000,73.22,80.0,,18.5,39.300000000000004,79.43,21.9
Ecuador,2019,78.45,,,,,,
Ecuador,2015,77.18,63.0,76.0,20.65,4.2,81.88,13.4
Ecuador,2010,75.02,78.0,,21.11,,77.93,13.8
Ecuador,2000,74.53,122.0,,14.46,3.8,70.22,16.6
Egypt,2019,71.82,,,,,,
Egypt,2015,70.49,39.0,65.0,8.22,39.6,98.57,28.2
Egypt,2010,70.2,45.0,,,,97.94,28.0
