country,year,life_expectancy
Malaysia,2019,74.72
Malaysia,2015,74.95
Malaysia,2010,74.25
Malaysia,2000,72.80
Maldives,2019,79.59
Maldives,2015,78.41
Maldives,2010,76.99
Maldives,2000,70.96
Mali,2019,62.80
Mali,2015,60.89
Mali,2010,59.05
Mali,2000,52.64
Malta,2019,81.89
Malta,2015,81.65
Malta,2010,80.45
Malta,2000,77.87
Mauritania,2019,68.38
Mauritania,2015,67.41
Mauritania,2010,65.59
Mauritania,2000,61.96
Mauritius,2019,74.07
Mauritius,2015,74.14
Mauritius,2010,73.24
Mauritius,2000,71.17
Mexico,2019,76.01
Mexico,2015,75.87
Mexico,2010,75.13
Mexico,2000,74.41
Micronesia (Federated States of),2019,63.03
Micronesia (Federated States of),2015,62.74
Micronesia (Federated States of),2010,62.67
Micronesia (Federated States of),2000,61.19
Mongolia,2019,68.10
Mongolia,2015,67.61
Mongolia,2010,65.05
Mongolia,2000,60.52
Montenegro,2019,75.88
Montenegro,2015,75.27
Montenegro,2010,74.69
Montenegro,2000,73.56
Morocco,2019,72.99
Morocco,2015,72.46
Morocco,2010,71.60
Morocco,2000,69.35
Mozambique,2019,58.14
Mozambique,2015,55.95
Mozambique,2010,53.48
Mozambique,2000,50.69
Myanmar,2019,69.13
Myanmar,2015,67.58
Myanmar,2010,64.79
Myanmar,2000,59.99
Namibia,2019,64.58
Namibia,2015,62.87
Namibia,2010,60.94
Namibia,2000,53.32
Nepal,2019,70.88
Nepal,2015,69.43
Nepal,2010,69.18
Nepal,2000,65.26
Netherlands,2019,81.79
Netherlands,2015,81.28
Netherlands,2010,80.68
Netherlands,2000,78.01
New Zealand,2019,81.96
New Zealand,2015,81.31
New Zealand,2010,80.94
New Zealand,2000,78.57
Nicaragua,2019,75.04
Nicaragua,2015,74.62
Nicaragua,2010,74.05
Nicaragua,2000,73.26
Niger,2019,63.29
Niger,2015,61.54
Niger,2010,58.95
Niger,2000,50.35
Nigeria,2019,62.62
Nigeria,2015,61.16
Nigeria,2010,59.24
Nigeria,2000,53.63
Norway,2019,82.62
Norway,2015,82.01
Norway,2010,80.87
Norway,2000,78.53
Oman,2019,73.90
Oman,2015,72.52
Oman,2010,70.36
Oman,2000,69.07
Pakistan,2019,65.61
Pakistan,2015,64.18
Pakistan,2010,62.64
Pakistan,2000,60.08
Panama,2019,79.29
Panama,2015,78.72
Panama,2010,77.53
Panama,2000,77.23
Papua New Guinea,2019,65.30
Papua New Guinea,2015,64.49
Papua New Guinea,2010,63.42
Papua New Guinea,2000,63.29
Paraguay,2019,75.81
Paraguay,2015,75.56
Paraguay,2010,74.99
Paraguay,2000,74.80
Peru,2019,79.90
Peru,2015,79.08
Peru,2010,77.28
Peru,2000,74.42
Philippines,2019,70.43
Philippines,2015,70.30
Philippines,2010,69.96
Philippines,2000,69.03
Poland,2019,78.27
Poland,2015,77.29
Poland,2010,76.25
Poland,2000,73.70
Portugal,2019,81.57
Portugal,2015,80.89
Portugal,2010,79.73
Portugal,2000,76.58
Qatar,2019,77.17
Qatar,2015,76.41
Qatar,2010,74.08
Qatar,2000,71.29
Republic of Korea,2019,83.30
Republic of Korea,2015,82.20
Republic of Korea,2010,80.58
Republic of Korea,2000,76.21
Republic of Moldova,2019,73.26
Republic of Moldova,2015,71.13
Republic of Moldova,2010,68.81
Republic of Moldova,2000,66.87
The former Yugoslav Republic of Macedonia,2019,74.82
The former Yugoslav Republic of Macedonia,2015,73.73
The former Yugoslav Republic of Macedonia,2010,73.11
The former Yugoslav Republic of Macedonia,2000,71.11
Romania,2019,75.57
Romania,2015,74.82
Romania,2010,73.70
Romania,2000,71.39
Russian Federation,2019,73.23
Russian Federation,2015,71.30
Russian Federation,2010,68.76
Russian Federation,2000,65.29
Rwanda,2019,69.10
Rwanda,2015,67.69
Rwanda,2010,64.44
Rwanda,2000,47.51
Saint Lucia,2019,74.33
Saint Lucia,2015,75.01
Saint Lucia,2010,75.20
Saint Lucia,2000,73.21
Saint Vincent and the Grenadines,2019,73.22
Saint Vincent and the Grenadines,2015,72.47
Saint Vincent and the Grenadines,2010,72.85
Saint Vincent and the Grenadines,2000,70.61
Samoa,2019,70.45
Samoa,2015,70.04
Samoa,2010,69.57
Samoa,2000,68.51
Sao Tome and Principe,2019,70.42
Sao Tome and Principe,2015,69.60
Sao Tome and Principe,2010,68.24
Sao Tome and Principe,2000,63.45
Saudi Arabia,2019,74.31
Saudi Arabia,2015,73.15
Saudi Arabia,2010,71.76
Saudi Arabia,2000,70.52
Senegal,2019,68.58
Senegal,2015,67.20
Senegal,2010,65.47
Senegal,2000,58.60
Serbia,2019,75.87
Serbia,2015,75.21
Serbia,2010,74.20
Serbia,2000,71.43
Seychelles,2019,73.34
Seychelles,2015,73.20
Seychelles,2010,73.01
Seychelles,2000,71.87
Sierra Leone,2019,60.77
Sierra Leone,2015,56.94
Sierra Leone,2010,54.74
Sierra Leone,2000,48.73
Singapore,2019,83.22
Singapore,2015,82.81
Singapore,2010,81.70
Singapore,2000,78.44
Slovakia,2019,78.23
Slovakia,2015,77.01
Slovakia,2010,75.47
Slovakia,2000,73.30
Slovenia,2019,81.31
Slovenia,2015,80.47
Slovenia,2010,79.55
Slovenia,2000,76.05
Solomon Islands,2019,65.25
Solomon Islands,2015,64.74
Solomon Islands,2010,63.69
Solomon Islands,2000,62.51
Somalia,2019,56.47
Somalia,2015,54.57
Somalia,2010,51.98
Somalia,2000,49.87
South Africa,2019,65.25
South Africa,2015,62.57
South Africa,2010,57.14
South Africa,2000,55.75
South Sudan,2019,62.79
South Sudan,2015,61.99
South Sudan,2010,61.10
South Sudan,2000,54.15
Spain,2019,83.22
Spain,2015,82.33
Spain,2010,81.69
Spain,2000,79.08
Sri Lanka,2019,76.87
Sri Lanka,2015,76.27
Sri Lanka,2010,73.30
Sri Lanka,2000,71.89
Sudan,2019,69.15
Sudan,2015,67.94
Sudan (until 2011),2010,66.56
Sudan (until 2011),2000,62.47
Suriname,2019,71.48
Suriname,2015,72.60
Suriname,2010,71.83
Suriname,2000,69.94
Sweden,2019,82.40
Sweden,2015,81.75
Sweden,2010,81.30
Sweden,2000,79.57
Switzerland,2019,83.45
Switzerland,2015,82.61
Switzerland,2010,82.19
Switzerland,2000,79.72
Syrian Arab Republic,2019,72.67
Syrian Arab Republic,2015,64.40
Syrian Arab Republic,2010,74.35
Syrian Arab Republic,2000,71.46
Tajikistan,2019,69.50
Tajikistan,2015,68.66
Tajikistan,2010,68.01
Tajikistan,2000,65.58
Thailand,2019,77.70
Thailand,2015,77.41
Thailand,2010,76.25
Thailand,2000,71.25
Timor-Leste,2019,69.62
Timor-Leste,2015,68.87
Timor-Leste,2010,68.06
Timor-Leste,2000,62.67
Togo,2019,64.27
Togo,2015,61.92
Togo,2010,59.33
Togo,2000,55.95
Tonga,2019,72.57
Tonga,2015,72.33
Tonga,2010,72.22
Tonga,2000,70.92
Trinidad and Tobago,2019,76.13
Trinidad and Tobago,2015,74.61
Trinidad and Tobago,2010,72.12
Trinidad and Tobago,2000,69.70
Tunisia,2019,77.04
Tunisia,2015,76.70
Tunisia,2010,76.05
Tunisia,2000,74.12
Turkey,2019,78.62
Turkey,2015,77.79
Turkey,2010,76.89
Turkey,2000,74.41
Turkmenistan,2019,69.75
Turkmenistan,2015,69.11
Turkmenistan,2010,67.31
Turkmenistan,2000,63.32
Uganda,2019,66.69
Uganda,2015,64.47
Uganda,2010,59.67
Uganda,2000,48.76
Ukraine,2019,73.02
Ukraine,2015,72.20
Ukraine,2010,70.20
Ukraine,2000,67.53
United Arab Emirates,2019,76.08
United Arab Emirates,2015,75.31
United Arab Emirates,2010,74.86
United Arab Emirates,2000,73.18
United Kingdom,2019,81.40
United Kingdom,2015,80.65
United Kingdom,2010,80.25
United Kingdom,2000,77.85
United Republic of Tanzania,2019,67.34
United Republic of Tanzania,2015,65.36
United Republic of Tanzania,2010,61.39
United Republic of Tanzania,2000,52.47
United States of America,2019,78.50
United States of America,2015,78.56
United States of America,2010,78.56
United States of America,2000,76.69
Uruguay,2019,77.10
Uruguay,2015,77.03
Uruguay,2010,76.36
Uruguay,2000,74.82
Uzbekistan,2019,73.01
Uzbekistan,2015,71.45
Uzbekistan,2010,70.19
Uzbekistan,2000,65.27
Vanuatu,2019,65.31
Vanuatu,2015,64.64
Vanuatu,2010,64.52
Vanuatu,2000,63.90
Venezuela (Bolivarian Republic of),2019,73.95
Venezuela (Bolivarian Republic of),2015,74.66
Venezuela (Bolivarian Republic of),2010,74.79
Venezuela (Bolivarian Republic of),2000,74.09
Viet Nam,2019,73.74
Viet Nam,2015,73.16
Viet Nam,2010,72.72
Viet Nam,2000,71.45
Yemen,2019,66.63
Yemen,2015,67.47
Yemen,2010,67.70
Yemen,2000,62.69
Zambia,2019,62.45
Zambia,2015,60.50
Zambia,2010,56.67
Zambia,2000,44.46
Zimbabwe,2019,60.68
Zimbabwe,2015,58.48
Zimbabwe,2010,51.49
Zimbabwe,2000,46.57
